demand_id,status,segment,facility_name,owner_operator,location,scale,project_stage,est_buy_window,est_completion_date,signal_source,source_url,first_seen,last_reviewed,est_value,next_action,notes
demand-radar-pilot-b-independent-texas-hotel-the-shepherd-mayfair-b-set-to-open-b-in-september-2026-b-boutique-hotel-b-news-tx,no-fit,hotel,The Shepherd Mayfair <b>set to open</b> in September 2026 - <b>Boutique Hotel</b> News,,TX,,opening,2026-01,2026,Demand Radar: Pilot B Independent Texas,https://boutiquehotelnews.com/news/hotel/the-shepherd-mayfair-september/,2026-07-16,2026-07-17,,WATCH: re-check near buy-window 2026-01,"facility (hotel): hotel; project trigger: to open, set to open -> opening; completion: 2026; no-fit: London UK; duplicate across feeds"
demand-radar-pilot-b-independent-texas-hotel-manazel-al-naqaa-partners-with-marriott-to-b-rebrand-b-shirvan-intlbm-tx,no-fit,hotel,Manazel Al Naqaa Partners With Marriott to <b>Rebrand</b> Shirvan - INTLBM,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://intlbm.com/2026/07/15/manazel-al-naqaa-partners-with-marriott-to-rebrand-shirvan/,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, marriott; project trigger: rebrand -> renovation; no-fit: international rebrand; duplicate across feeds"
demand-radar-pilot-b-independent-texas-hotel-ch-teau-de-raymontpierre-the-castle-that-redefines-hospitality-ticino-welcome-tx,no-fit,hotel,"Château de Raymontpierre, the Castle that Redefines Hospitality - Ticino Welcome",,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://ticinowelcome.ch/en/?p=82824,2026-07-16,2026-07-17,,REVIEW: size & locate,"facility (hotel): hotel, hospitality; project trigger: renovation -> renovation; no-fit: Switzerland; duplicate across feeds"
demand-radar-pilot-b-independent-houston-hotel-first-look-at-new-luxury-b-boutique-hotel-b-in-glasgow-that-overlooks-famous-landmark,no-fit,hotel,First look at new luxury <b>boutique hotel</b> in Glasgow that overlooks famous landmark,,,,opening,,,Demand Radar: Pilot B Independent Houston,https://www.thescottishsun.co.uk/money/16569487/first-look-luxury-hotel-glasgow-overlooks-landmark/,2026-07-20,2026-07-20,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: to open, set to open -> opening; NO-FIT: Glasgow UK boutique hotel - outside US service geography entirely."
demand-radar-pilot-b-independent-texas-hotel-first-look-at-new-luxury-b-boutique-hotel-b-in-glasgow-that-overlooks-famous-landmark-tx,no-fit,hotel,First look at new luxury <b>boutique hotel</b> in Glasgow that overlooks famous landmark,,TX,,opening,,,Demand Radar: Pilot B Independent Texas,https://www.thescottishsun.co.uk/money/16569487/first-look-luxury-hotel-glasgow-overlooks-landmark/,2026-07-20,2026-07-20,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: to open, set to open -> opening; NO-FIT: Glasgow UK boutique hotel (duplicate of Houston-feed row) - false TX tag from feed config, outside US."
demand-radar-pilot-b-independent-houston-hotel-indian-american-opens-39-flor-de-india-39-b-boutique-hotel-b-in-puerto-rico-south-asian-herald,no-fit,hotel,Indian American Opens &#39;Flor de India&#39; <b>Boutique Hotel</b> in Puerto Rico - South Asian Herald,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://southasianherald.com/indian-american-opens-flor-de-india-boutique-hotel-in-puerto-rico/,2026-07-20,2026-07-20,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; NO-FIT: Puerto Rico boutique hotel already OPEN (past buy-window), out of region."
demand-radar-pilot-b-independent-texas-hotel-indian-american-opens-39-flor-de-india-39-b-boutique-hotel-b-in-puerto-rico-south-asian-herald-tx,no-fit,hotel,Indian American Opens &#39;Flor de India&#39; <b>Boutique Hotel</b> in Puerto Rico - South Asian Herald,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://southasianherald.com/indian-american-opens-flor-de-india-boutique-hotel-in-puerto-rico/,2026-07-20,2026-07-20,,REVIEW: size & locate,"facility (hotel): hotel; project trigger: renovation -> renovation; NO-FIT: Puerto Rico boutique hotel (duplicate of Houston-feed row) - false TX tag, already open, out of region."
demand-radar-pilot-b-independent-houston-hotel-before-amp-after-how-an-interior-designer-turned-her-loft-into-a-b-boutique-hotel-b-style-bathroom,no-fit,hotel,Before &amp; After: How an interior designer turned her loft into a <b>boutique hotel</b>-style bathroom,,,,renovation,2021-01,2021,Demand Radar: Pilot B Independent Houston,https://ca.style.yahoo.com/interior-designer-turned-her-loft-083000781.html,2026-07-20,2026-07-20,,WATCH: re-check near buy-window 2021-01,"facility (hotel): hotel; project trigger: renovation -> renovation; completion: 2021; NO-FIT: consumer design article (residential loft bathroom, completed 2021) - not an institutional demand signal."
demand-radar-pilot-b-independent-texas-hotel-before-amp-after-how-an-interior-designer-turned-her-loft-into-a-b-boutique-hotel-b-style-bathroom-tx,no-fit,hotel,Before &amp; After: How an interior designer turned her loft into a <b>boutique hotel</b>-style bathroom,,TX,,renovation,2021-01,2021,Demand Radar: Pilot B Independent Texas,https://ca.style.yahoo.com/interior-designer-turned-her-loft-083000781.html,2026-07-20,2026-07-20,,WATCH: re-check near buy-window 2021-01,"facility (hotel): hotel; project trigger: renovation -> renovation; completion: 2021; NO-FIT: consumer design article (duplicate of Houston-feed row) - false TX tag, not institutional demand."
demand-radar-pilot-a-pip-reflag-houston-hotel-major-b-hotel-b-and-condo-tower-proposed-to-replace-stalled-vancouver-office-project,no-fit,hotel,Major <b>hotel</b> and condo tower proposed to replace stalled Vancouver office project,,,,renovation,,,Demand Radar: Pilot A PIP-Reflag Houston,https://dailyhive.com/vancouver/1166-west-pender-street-vancouver-hotel-condo-tower-reliance-hines-2026-concept,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel; project trigger: pip, reflag, proposed -> renovation; non-demand exclude co-occurs -> review: office tower; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-a-pip-reflag-texas-hotel-new-zealand-tourism-gains-a-fresh-luxury-accommodation-addition-as-voco-queenstown-tx,no-fit,hotel,New Zealand Tourism Gains a Fresh Luxury Accommodation Addition as voco Queenstown ...,,TX,,renovation,,,Demand Radar: Pilot A PIP-Reflag Texas,https://www.travelandtourworld.com/news/article/sr90d9y2h8pw/,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, suites; project trigger: pip, reflag -> renovation; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-houston-hotel-i-recreated-the-b-boutique-hotel-b-look-in-my-bedroom-without-copying-it-ideal-home,no-fit,hotel,I recreated the <b>boutique hotel</b> look in my bedroom – without copying it - Ideal Home,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.idealhome.co.uk/open-house/natalie-jahangiry-recreating-a-boutique-hotel-in-my-bedroom,2026-07-23,2026-07-23,,No-fit archived,facility (hotel): hotel; project trigger: renovation -> renovation; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue.
demand-radar-pilot-b-independent-houston-hotel-bend-wellness-spa-hotel-project-b-breaks-ground-b-the-bulletin,no-fit,hotel,"Bend wellness spa, hotel project <b>breaks ground</b> | The Bulletin",,,68 room,under-construction,,,Demand Radar: Pilot B Independent Houston,https://bendbulletin.com/2026/07/22/bend-wellness-spa-hotel-project-breaks-ground/,2026-07-23,2026-07-23,,No-fit archived,facility (hotel): hotel; project trigger: breaks ground -> under-construction; scale: 68 room; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue.
demand-radar-pilot-b-independent-houston-hotel-bre-hotels-amp-resorts-completes-full-b-renovation-b-of-courtyard-by-marriott-boston-brookline,no-fit,hotel,BRE Hotels &amp; Resorts Completes Full <b>Renovation</b> of Courtyard by Marriott Boston Brookline,,,,renovation,,,Demand Radar: Pilot B Independent Houston,https://www.hotel-online.com/news/bre-hotels-resorts-completes-full-renovation-of-courtyard-by-marriott-boston-brookline,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, extended stay, marriott, courtyard; project trigger: renovation -> renovation; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-houston-hotel-maine-b-boutique-hotel-b-opens-with-no-on-site-staff-me,no-fit,hotel,Maine <b>boutique hotel</b> opens with no on-site staff,,ME,,,,,Demand Radar: Pilot B Independent Houston,https://usa.boutiquehotelier.com/boutique-hotel-maine-technologu/,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, hospitality; facility named but no project trigger (construction/renovation/opening); Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-houston-hotel-sbe-expands-hq-hotels-portfolio-with-palm-springs-b-boutique-hotel-b-yahoo-finance,no-fit,hotel,SBE expands HQ Hotels portfolio with Palm Springs <b>boutique hotel</b> - Yahoo Finance,,,143 room,renovation,,,Demand Radar: Pilot B Independent Houston,https://finance.yahoo.com/real-estate/articles/sbe-expands-hq-hotels-portfolio-090916778.html,2026-07-23,2026-07-23,,No-fit archived,facility (hotel): hotel; project trigger: renovation -> renovation; scale: 143 room; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue.
demand-radar-pilot-b-independent-houston-hotel-sbe-expands-hq-hotels-portfolio-with-palm-springs-b-boutique-hotel-b-hotel-dive,no-fit,hotel,SBE expands HQ Hotels portfolio with Palm Springs <b>boutique hotel</b> | Hotel Dive,,,143 room,,,,Demand Radar: Pilot B Independent Houston,https://www.hoteldive.com/news/sbe-expands-hq-hotels-portfolio-palm-springs/825870/,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, extended stay, wyndham; facility named but no project trigger (construction/renovation/opening); Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-texas-hotel-bend-wellness-spa-hotel-project-b-breaks-ground-b-the-bulletin-tx,no-fit,hotel,"Bend wellness spa, hotel project <b>breaks ground</b> | The Bulletin",,TX,68 room,under-construction,,,Demand Radar: Pilot B Independent Texas,https://bendbulletin.com/2026/07/22/bend-wellness-spa-hotel-project-breaks-ground/,2026-07-23,2026-07-23,,No-fit archived,facility (hotel): hotel; project trigger: breaks ground -> under-construction; scale: 68 room; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue.
demand-radar-pilot-b-independent-texas-hotel-tui-blue-city-break-hotels-to-open-in-europe-news-travel-weekly-tx,no-fit,hotel,Tui Blue city break hotels to open in Europe - News - Travel Weekly,,TX,30 room,opening,,,Demand Radar: Pilot B Independent Texas,https://travelweekly.co.uk/news/tui-blue-city-break-hotels-to-open-in-europe,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel; project trigger: to open, set to open -> opening; scale: 30 room; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-texas-hotel-i-recreated-the-b-boutique-hotel-b-look-in-my-bedroom-without-copying-it-ideal-home-tx,no-fit,hotel,I recreated the <b>boutique hotel</b> look in my bedroom – without copying it - Ideal Home,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.idealhome.co.uk/open-house/natalie-jahangiry-recreating-a-boutique-hotel-in-my-bedroom,2026-07-23,2026-07-23,,No-fit archived,facility (hotel): hotel; project trigger: renovation -> renovation; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue.
demand-radar-pilot-b-independent-texas-hotel-bre-hotels-amp-resorts-completes-full-b-renovation-b-of-courtyard-by-marriott-boston-brookline-tx,no-fit,hotel,BRE Hotels &amp; Resorts Completes Full <b>Renovation</b> of Courtyard by Marriott Boston Brookline,,TX,,renovation,,,Demand Radar: Pilot B Independent Texas,https://www.hotel-online.com/news/bre-hotels-resorts-completes-full-renovation-of-courtyard-by-marriott-boston-brookline,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, extended stay, marriott, courtyard; project trigger: renovation -> renovation; Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
demand-radar-pilot-b-independent-texas-hotel-sbe-expands-hq-hotels-portfolio-with-palm-springs-b-boutique-hotel-b-hotel-dive-tx,no-fit,hotel,SBE expands HQ Hotels portfolio with Palm Springs <b>boutique hotel</b> | Hotel Dive,,TX,143 room,,,,Demand Radar: Pilot B Independent Texas,https://www.hoteldive.com/news/sbe-expands-hq-hotels-portfolio-palm-springs/825870/,2026-07-23,2026-07-23,,No-fit archived,"facility (hotel): hotel, extended stay, wyndham; facility named but no project trigger (construction/renovation/opening); Operator no-fit 2026-07-23: RSS Demand Radar false positive/out-of-region or non-demand article; no Texas/Houston mattress route-to-market to pursue."
